speaker,feature,deepfake,accuracy,nu,gamma
p226,byol_a_2048,f01,78.59,0.001,1e-06
p226,byol_a_2048,f02,78.59,0.001,1e-06
p226,byol_a_2048,f03,78.59,0.001,1e-06
p226,byol_a_2048,f04,78.59,0.001,1e-06
p226,byol_a_2048,f05,78.59,0.001,1e-06
p226,byol_a_2048,f06,78.59,0.001,1e-06
p226,byol_a_2048,f07,43.93,0.001,1e-06
p226,byol_a_2048,l1,25.95,0.001,1e-06
p226,byol_a_2048,l2,25.95,0.001,1e-06
p226,byol_s_cvt,f01,78.59,0.001,1e-06
p226,byol_s_cvt,f02,78.59,0.001,1e-06
p226,byol_s_cvt,f03,78.59,0.001,1e-06
p226,byol_s_cvt,f04,78.59,0.001,1e-06
p226,byol_s_cvt,f05,78.59,0.001,1e-06
p226,byol_s_cvt,f06,78.59,0.001,1e-06
p226,byol_s_cvt,f07,43.93,0.001,0.001
p226,byol_s_cvt,l1,25.95,0.001,1e-06
p226,byol_s_cvt,l2,25.95,0.001,1e-06
p226,espnet_hubert_base_iter0,f01,100.0,0.001,1e-06
p226,espnet_hubert_base_iter0,f02,100.0,0.001,1e-06
p226,espnet_hubert_base_iter0,f03,100.0,0.001,1e-06
p226,espnet_hubert_base_iter0,f04,100.0,0.001,0.0001
p226,espnet_hubert_base_iter0,f05,100.0,0.001,1e-06
p226,espnet_hubert_base_iter0,f06,100.0,0.001,1e-06
p226,espnet_hubert_base_iter0,f07,100.0,0.001,0.01
p226,espnet_hubert_base_iter0,l1,100.0,0.001,0.0001
p226,espnet_hubert_base_iter0,l2,100.0,0.001,0.0001
p226,modified_cpc,f01,78.59,0.001,1e-06
p226,modified_cpc,f02,78.59,0.001,1e-06
p226,modified_cpc,f03,78.59,0.001,1e-06
p226,modified_cpc,f04,78.59,0.001,1e-06
p226,modified_cpc,f05,78.59,0.001,1e-06
p226,modified_cpc,f06,78.59,0.001,1e-06
p226,modified_cpc,f07,43.93,0.001,1e-06
p226,modified_cpc,l1,25.95,0.001,1e-06
p226,modified_cpc,l2,25.95,0.001,1e-06
p226,ssast_patch_base,f01,78.59,0.001,1e-06
p226,ssast_patch_base,f02,78.59,0.001,1e-06
p226,ssast_patch_base,f03,78.59,0.001,1e-06
p226,ssast_patch_base,f04,78.59,0.001,1e-06
p226,ssast_patch_base,f05,78.59,0.001,1e-06
p226,ssast_patch_base,f06,78.59,0.001,1e-06
p226,ssast_patch_base,f07,43.93,0.001,0.0001
p226,ssast_patch_base,l1,25.95,0.001,1e-06
p226,ssast_patch_base,l2,25.95,0.001,1e-06
p226,wav2vec2_base_s2st_es_voxpopuli,f01,100.0,0.001,1e-06
p226,wav2vec2_base_s2st_es_voxpopuli,f02,100.0,0.001,0.0001
p226,wav2vec2_base_s2st_es_voxpopuli,f03,100.0,0.001,1e-06
p226,wav2vec2_base_s2st_es_voxpopuli,f04,100.0,0.001,0.0001
p226,wav2vec2_base_s2st_es_voxpopuli,f05,100.0,0.001,1e-06
p226,wav2vec2_base_s2st_es_voxpopuli,f06,100.0,0.001,1e-06
p226,wav2vec2_base_s2st_es_voxpopuli,f07,100.0,0.001,0.01
p226,wav2vec2_base_s2st_es_voxpopuli,l1,100.0,0.001,1e-06
p226,wav2vec2_base_s2st_es_voxpopuli,l2,100.0,0.001,0.0001
p226,wavlablm_mk_40k,f01,78.59,0.001,1e-06
p226,wavlablm_mk_40k,f02,78.59,0.001,1e-06
p226,wavlablm_mk_40k,f03,78.59,0.001,1e-06
p226,wavlablm_mk_40k,f04,78.59,0.001,1e-06
p226,wavlablm_mk_40k,f05,78.59,0.001,1e-06
p226,wavlablm_mk_40k,f06,78.59,0.001,1e-06
p226,wavlablm_mk_40k,f07,43.93,0.001,0.01
p226,wavlablm_mk_40k,l1,25.95,0.001,1e-06
p226,wavlablm_mk_40k,l2,25.95,0.001,1e-06
p227,byol_a_2048,f01,78.9,0.001,1e-06
p227,byol_a_2048,f02,78.9,0.001,1e-06
p227,byol_a_2048,f03,78.9,0.001,1e-06
p227,byol_a_2048,f04,78.9,0.001,1e-06
p227,byol_a_2048,f05,78.9,0.001,1e-06
p227,byol_a_2048,f06,78.9,0.001,1e-06
p227,byol_a_2048,f07,41.9,0.001,0.001
p227,byol_a_2048,l1,29.25,0.001,1e-06
p227,byol_a_2048,l2,29.25,0.001,1e-06
p227,byol_s_cvt,f01,78.9,0.001,1e-06
p227,byol_s_cvt,f02,78.9,0.001,1e-06
p227,byol_s_cvt,f03,78.9,0.001,1e-06
p227,byol_s_cvt,f04,78.9,0.001,1e-06
p227,byol_s_cvt,f05,78.9,0.001,1e-06
p227,byol_s_cvt,f06,78.9,0.001,1e-06
p227,byol_s_cvt,f07,41.9,0.001,0.001
p227,byol_s_cvt,l1,29.25,0.001,1e-06
p227,byol_s_cvt,l2,29.25,0.001,1e-06
p227,espnet_hubert_base_iter0,f01,100.0,0.001,0.0001
p227,espnet_hubert_base_iter0,f02,100.0,0.001,0.0001
p227,espnet_hubert_base_iter0,f03,100.0,0.001,1e-06
p227,espnet_hubert_base_iter0,f04,100.0,0.001,0.0001
p227,espnet_hubert_base_iter0,f05,100.0,0.001,1e-06
p227,espnet_hubert_base_iter0,f06,100.0,0.001,1e-06
p227,espnet_hubert_base_iter0,f07,97.77,0.5,0.001
p227,espnet_hubert_base_iter0,l1,100.0,0.001,0.0001
p227,espnet_hubert_base_iter0,l2,100.0,0.001,0.0001
p227,modified_cpc,f01,78.9,0.001,1e-06
p227,modified_cpc,f02,78.9,0.001,1e-06
p227,modified_cpc,f03,78.9,0.001,1e-06
p227,modified_cpc,f04,78.9,0.001,1e-06
p227,modified_cpc,f05,78.9,0.001,1e-06
p227,modified_cpc,f06,78.9,0.001,1e-06
p227,modified_cpc,f07,41.9,0.001,1e-06
p227,modified_cpc,l1,29.25,0.001,1e-06
p227,modified_cpc,l2,29.25,0.001,1e-06
p227,ssast_patch_base,f01,78.9,0.001,1e-06
p227,ssast_patch_base,f02,78.9,0.001,1e-06
p227,ssast_patch_base,f03,78.9,0.001,1e-06
p227,ssast_patch_base,f04,78.9,0.001,1e-06
p227,ssast_patch_base,f05,78.9,0.001,1e-06
p227,ssast_patch_base,f06,78.9,0.001,1e-06
p227,ssast_patch_base,f07,41.9,0.001,0.0001
p227,ssast_patch_base,l1,29.25,0.001,1e-06
p227,ssast_patch_base,l2,29.25,0.001,1e-06
p227,wav2vec2_base_s2st_es_voxpopuli,f01,100.0,0.001,0.0001
p227,wav2vec2_base_s2st_es_voxpopuli,f02,100.0,0.001,0.0001
p227,wav2vec2_base_s2st_es_voxpopuli,f03,100.0,0.001,0.0001
p227,wav2vec2_base_s2st_es_voxpopuli,f04,100.0,0.001,1e-06
p227,wav2vec2_base_s2st_es_voxpopuli,f05,100.0,0.001,1e-06
p227,wav2vec2_base_s2st_es_voxpopuli,f06,100.0,0.001,0.0001
p227,wav2vec2_base_s2st_es_voxpopuli,f07,100.0,0.001,0.01
p227,wav2vec2_base_s2st_es_voxpopuli,l1,100.0,0.001,1e-06
p227,wav2vec2_base_s2st_es_voxpopuli,l2,100.0,0.001,1e-06
p227,wavlablm_mk_40k,f01,78.9,0.001,1e-06
p227,wavlablm_mk_40k,f02,78.9,0.001,1e-06
p227,wavlablm_mk_40k,f03,78.9,0.001,1e-06
p227,wavlablm_mk_40k,f04,78.9,0.001,1e-06
p227,wavlablm_mk_40k,f05,78.9,0.001,1e-06
p227,wavlablm_mk_40k,f06,78.9,0.001,1e-06
p227,wavlablm_mk_40k,f07,41.9,0.001,0.01
p227,wavlablm_mk_40k,l1,29.25,0.001,1e-06
p227,wavlablm_mk_40k,l2,29.25,0.001,1e-06
p229,byol_a_2048,f01,78.63,0.001,1e-06
p229,byol_a_2048,f02,78.63,0.001,1e-06
p229,byol_a_2048,f03,78.63,0.001,1e-06
p229,byol_a_2048,f04,78.63,0.001,1e-06
p229,byol_a_2048,f05,78.63,0.001,1e-06
p229,byol_a_2048,f06,78.63,0.001,1e-06
p229,byol_a_2048,f07,39.05,0.001,0.001
p229,byol_a_2048,l1,25.9,0.001,1e-06
p229,byol_a_2048,l2,25.9,0.001,1e-06
p229,byol_s_cvt,f01,78.63,0.001,1e-06
p229,byol_s_cvt,f02,78.63,0.001,1e-06
p229,byol_s_cvt,f03,78.63,0.001,1e-06
p229,byol_s_cvt,f04,78.63,0.001,1e-06
p229,byol_s_cvt,f05,78.63,0.001,1e-06
p229,byol_s_cvt,f06,78.63,0.001,1e-06
p229,byol_s_cvt,f07,39.05,0.001,0.001
p229,byol_s_cvt,l1,25.9,0.001,1e-06
p229,byol_s_cvt,l2,25.9,0.001,1e-06
p229,espnet_hubert_base_iter0,f01,100.0,0.001,1e-06
p229,espnet_hubert_base_iter0,f02,100.0,0.001,1e-06
p229,espnet_hubert_base_iter0,f03,100.0,0.001,1e-06
p229,espnet_hubert_base_iter0,f04,100.0,0.001,0.0001
p229,espnet_hubert_base_iter0,f05,100.0,0.001,0.0001
p229,espnet_hubert_base_iter0,f06,100.0,0.001,1e-06
p229,espnet_hubert_base_iter0,f07,99.41,0.5,0.001
p229,espnet_hubert_base_iter0,l1,100.0,0.001,1e-06
p229,espnet_hubert_base_iter0,l2,100.0,0.001,1e-06
p229,modified_cpc,f01,78.63,0.001,1e-06
p229,modified_cpc,f02,78.63,0.001,1e-06
p229,modified_cpc,f03,78.63,0.001,1e-06
p229,modified_cpc,f04,78.63,0.001,1e-06
p229,modified_cpc,f05,78.63,0.001,1e-06
p229,modified_cpc,f06,78.63,0.001,1e-06
p229,modified_cpc,f07,39.05,0.001,1e-06
p229,modified_cpc,l1,25.9,0.001,1e-06
p229,modified_cpc,l2,25.9,0.001,1e-06
p229,ssast_patch_base,f01,78.63,0.001,1e-06
p229,ssast_patch_base,f02,78.63,0.001,1e-06
p229,ssast_patch_base,f03,78.63,0.001,1e-06
p229,ssast_patch_base,f04,78.63,0.001,1e-06
p229,ssast_patch_base,f05,78.63,0.001,1e-06
p229,ssast_patch_base,f06,78.63,0.001,1e-06
p229,ssast_patch_base,f07,39.05,0.001,0.0001
p229,ssast_patch_base,l1,25.9,0.001,1e-06
p229,ssast_patch_base,l2,25.9,0.001,1e-06
p229,wav2vec2_base_s2st_es_voxpopuli,f01,100.0,0.001,0.0001
p229,wav2vec2_base_s2st_es_voxpopuli,f02,100.0,0.001,0.0001
p229,wav2vec2_base_s2st_es_voxpopuli,f03,100.0,0.001,1e-06
p229,wav2vec2_base_s2st_es_voxpopuli,f04,100.0,0.001,1e-06
p229,wav2vec2_base_s2st_es_voxpopuli,f05,100.0,0.001,0.0001
p229,wav2vec2_base_s2st_es_voxpopuli,f06,100.0,0.001,0.0001
p229,wav2vec2_base_s2st_es_voxpopuli,f07,100.0,0.01,0.01
p229,wav2vec2_base_s2st_es_voxpopuli,l1,100.0,0.001,0.0001
p229,wav2vec2_base_s2st_es_voxpopuli,l2,100.0,0.001,1e-06
p229,wavlablm_mk_40k,f01,78.63,0.001,1e-06
p229,wavlablm_mk_40k,f02,78.63,0.001,1e-06
p229,wavlablm_mk_40k,f03,78.63,0.001,1e-06
p229,wavlablm_mk_40k,f04,78.63,0.001,1e-06
p229,wavlablm_mk_40k,f05,78.63,0.001,1e-06
p229,wavlablm_mk_40k,f06,78.63,0.001,1e-06
p229,wavlablm_mk_40k,f07,39.05,0.001,0.01
p229,wavlablm_mk_40k,l1,25.9,0.001,1e-06
p229,wavlablm_mk_40k,l2,25.9,0.001,1e-06
p232,byol_a_2048,f01,78.03,0.001,1e-06
p232,byol_a_2048,f02,78.03,0.001,1e-06
p232,byol_a_2048,f03,78.03,0.001,1e-06
p232,byol_a_2048,f04,78.03,0.001,1e-06
p232,byol_a_2048,f05,78.03,0.001,1e-06
p232,byol_a_2048,f06,78.03,0.001,1e-06
p232,byol_a_2048,f07,39.9,0.001,0.001
p232,byol_a_2048,l1,18.88,0.001,1e-06
p232,byol_a_2048,l2,18.88,0.001,1e-06
p232,byol_s_cvt,f01,78.03,0.001,1e-06
p232,byol_s_cvt,f02,78.03,0.001,1e-06
p232,byol_s_cvt,f03,78.03,0.001,1e-06
p232,byol_s_cvt,f04,78.03,0.001,1e-06
p232,byol_s_cvt,f05,78.03,0.001,1e-06
p232,byol_s_cvt,f06,78.03,0.001,1e-06
p232,byol_s_cvt,f07,39.9,0.001,0.001
p232,byol_s_cvt,l1,18.88,0.001,1e-06
p232,byol_s_cvt,l2,18.88,0.001,1e-06
p232,espnet_hubert_base_iter0,f01,100.0,0.001,1e-06
p232,espnet_hubert_base_iter0,f02,100.0,0.001,1e-06
p232,espnet_hubert_base_iter0,f03,100.0,0.001,1e-06
p232,espnet_hubert_base_iter0,f04,100.0,0.001,1e-06
p232,espnet_hubert_base_iter0,f05,100.0,0.001,0.0001
p232,espnet_hubert_base_iter0,f06,100.0,0.001,0.0001
p232,espnet_hubert_base_iter0,f07,98.45,0.5,0.001
p232,espnet_hubert_base_iter0,l1,100.0,0.001,1e-06
p232,espnet_hubert_base_iter0,l2,100.0,0.001,1e-06
p232,modified_cpc,f01,78.03,0.001,1e-06
p232,modified_cpc,f02,78.03,0.001,1e-06
p232,modified_cpc,f03,78.03,0.001,1e-06
p232,modified_cpc,f04,78.03,0.001,1e-06
p232,modified_cpc,f05,78.03,0.001,1e-06
p232,modified_cpc,f06,78.03,0.001,1e-06
p232,modified_cpc,f07,39.9,0.001,1e-06
p232,modified_cpc,l1,18.88,0.001,1e-06
p232,modified_cpc,l2,18.88,0.001,1e-06
p232,ssast_patch_base,f01,78.03,0.001,1e-06
p232,ssast_patch_base,f02,78.03,0.001,1e-06
p232,ssast_patch_base,f03,78.03,0.001,1e-06
p232,ssast_patch_base,f04,78.03,0.001,1e-06
p232,ssast_patch_base,f05,78.03,0.001,1e-06
p232,ssast_patch_base,f06,78.03,0.001,1e-06
p232,ssast_patch_base,f07,39.9,0.001,0.0001
p232,ssast_patch_base,l1,18.88,0.001,1e-06
p232,ssast_patch_base,l2,18.88,0.001,1e-06
p232,wav2vec2_base_s2st_es_voxpopuli,f01,100.0,0.001,1e-06
p232,wav2vec2_base_s2st_es_voxpopuli,f02,100.0,0.001,0.0001
p232,wav2vec2_base_s2st_es_voxpopuli,f03,100.0,0.001,0.0001
p232,wav2vec2_base_s2st_es_voxpopuli,f04,100.0,0.001,0.0001
p232,wav2vec2_base_s2st_es_voxpopuli,f05,100.0,0.001,1e-06
p232,wav2vec2_base_s2st_es_voxpopuli,f06,100.0,0.001,0.0001
p232,wav2vec2_base_s2st_es_voxpopuli,f07,100.0,0.01,0.01
p232,wav2vec2_base_s2st_es_voxpopuli,l1,100.0,0.001,1e-06
p232,wav2vec2_base_s2st_es_voxpopuli,l2,100.0,0.001,1e-06
p232,wavlablm_mk_40k,f01,78.03,0.001,1e-06
p232,wavlablm_mk_40k,f02,78.03,0.001,1e-06
p232,wavlablm_mk_40k,f03,78.03,0.001,1e-06
p232,wavlablm_mk_40k,f04,78.03,0.001,1e-06
p232,wavlablm_mk_40k,f05,78.03,0.001,1e-06
p232,wavlablm_mk_40k,f06,78.03,0.001,1e-06
p232,wavlablm_mk_40k,f07,39.9,0.001,0.01
p232,wavlablm_mk_40k,l1,18.88,0.001,1e-06
p232,wavlablm_mk_40k,l2,18.88,0.001,1e-06
p236,byol_a_2048,f01,78.97,0.001,1e-06
p236,byol_a_2048,f02,78.97,0.001,1e-06
p236,byol_a_2048,f03,78.97,0.001,1e-06
p236,byol_a_2048,f04,78.97,0.001,1e-06
p236,byol_a_2048,f05,78.97,0.001,1e-06
p236,byol_a_2048,f06,78.97,0.001,1e-06
p236,byol_a_2048,f07,40.45,0.001,1e-06
p236,byol_a_2048,l1,30.32,0.001,1e-06
p236,byol_a_2048,l2,30.32,0.001,1e-06
p236,byol_s_cvt,f01,78.97,0.001,1e-06
p236,byol_s_cvt,f02,78.97,0.001,1e-06
p236,byol_s_cvt,f03,78.97,0.001,1e-06
p236,byol_s_cvt,f04,78.97,0.001,1e-06
p236,byol_s_cvt,f05,78.97,0.001,1e-06
p236,byol_s_cvt,f06,78.97,0.001,1e-06
p236,byol_s_cvt,f07,40.45,0.001,0.001
p236,byol_s_cvt,l1,30.32,0.001,1e-06
p236,byol_s_cvt,l2,30.32,0.001,1e-06
p236,espnet_hubert_base_iter0,f01,100.0,0.001,0.0001
p236,espnet_hubert_base_iter0,f02,100.0,0.001,1e-06
p236,espnet_hubert_base_iter0,f03,100.0,0.001,0.0001
p236,espnet_hubert_base_iter0,f04,100.0,0.001,1e-06
p236,espnet_hubert_base_iter0,f05,100.0,0.001,1e-06
p236,espnet_hubert_base_iter0,f06,100.0,0.001,1e-06
p236,espnet_hubert_base_iter0,f07,98.64,0.5,0.001
p236,espnet_hubert_base_iter0,l1,100.0,0.001,1e-06
p236,espnet_hubert_base_iter0,l2,100.0,0.001,1e-06
